gsid,name,university
008lr2cAAAAJ,Tobias Höllerer,University of California - Santa Barbara
00M1AqQAAAAJ,John Kubiatowicz,University of California - Berkeley
00S6A4IAAAAJ,Parasara Sridhar Duggirala,University of North Carolina
017pCpkAAAAJ,Rami G. Melhem,University of Pittsburgh
02nHF0gAAAAJ,Rajesh P. N. Rao,University of Washington
02UU6wgAAAAJ,Keshav Pingali,University of Texas at Austin
03Bww5gAAAAJ,Chein-I Chang,Univ. of Maryland - Baltimore County
04TuVhEAAAAJ,David Bindel,Cornell University
06hgT8gAAAAJ,Taesoo Kim,Georgia Institute of Technology
06ldpDMAAAAJ,Alberto Quattrini Li,Dartmouth College
07ds-DAAAAAJ,Jen Rexford,Princeton University
07Z4HAQAAAAJ,Varun Chandola,University at Buffalo
08UkfMsAAAAJ,Avani Wildani,Emory University
08W2rQIAAAAJ,Sergei Nirenburg,Rensselaer Polytechnic Institute
0AGs4soAAAAJ,Raj K. Bhatnagar,University of Cincinnati
0Bi5CMgAAAAJ,Arvind Narayanan,Princeton University
_0dkufgAAAAJ,Joel H. Saltz,Stony Brook University
0DpK1EMAAAAJ,Tuomas Sandholm,Carnegie Mellon University
0E00iT0AAAAJ,Victor S. Frost,University of Kansas
0FAQfO4AAAAJ,Ion I. Mandoiu,University of Connecticut
0fq5QeIAAAAJ,Pavel A. Pevzner,University of California - San Diego
0G2t-6sAAAAJ,David P. Woodruff,Carnegie Mellon University
0g7f1_YAAAAJ,Bryan Minor,Washington State University
0GHjBSUAAAAJ,Shomir Wilson,University of Cincinnati
0GLMGTEAAAAJ,Matthew O'Toole,Carnegie Mellon University
0GrFcZsAAAAJ,Bartosz Krawczyk,Virginia Commonwealth University
0hTZUnYAAAAJ,Ping Yang 0002,Binghamton University
0I0Exl4AAAAJ,Micha Hofri,Worcester Polytechnic Institute
0IHc9DUAAAAJ,Carl K. Chang,Iowa State University
_0iLGqEAAAAJ,David Darais,University of Vermont
0irVeiQAAAAJ,Srinivasan Seshan,Carnegie Mellon University
0j47sRUAAAAJ,Sreepathi Pai,University of Rochester
0jBP_aEAAAAJ,Yinzhi Cao,Johns Hopkins University
0jSdqoEAAAAJ,Brian Scassellati,Yale University
0kPwMDwAAAAJ,Eric Walkingshaw,Oregon State University
0KYdpIQAAAAJ,Xinwen Fu,University of Massachusetts Lowell
0lcJYs8AAAAJ,Tim Roughgarden,Columbia University
-0LFOnYAAAAJ,Christopher Kiekintveld,University of Texas - El Paso
0ltdcO4AAAAJ,Tamer Nadeem,Virginia Commonwealth University
0MkHY9cAAAAJ,Micah Sherr,Georgetown University
_0mWbaoAAAAJ,Taejoong Chung,Rochester Institute of Technology
0nBysEcAAAAJ,Alfred Kobsa,University of California - Irvine
0pdOqkQAAAAJ,Mehmet Koyutürk,Case Western Reserve University
0QFPg3oAAAAJ,Alfredo Weitzenfeld,University of South Florida
