Name,University,Bachelors,Masters,Doctorate,PostDoc,JoinYear,Rank,Subfield,Gender,PhotoURL,Sources,LastUpdateBy,LastUpdatedDate
Chitta Baral,Arizona State University,Indian Institute of Technology - Kanpur - India,University of Maryland - College Park - USA,University of Maryland - College Park - USA,,1999,Full,Natural Language & Speech,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/chittabaral.jpg,http://cidse.engineering.asu.edu/directory/chitta-baral/,3459,2016-08-29
Kasim Candan,Arizona State University,Bilkent University - Turkey,,University of Maryland - College Park - USA,,1997,Full,Databases,,,http://cidse.engineering.asu.edu/directory/candan-k-selcuk/,8531,2017-11-02
Charles Colbourn,Arizona State University,University of Toronto - Canada,University of Waterloo - Canada,University of Toronto - Canada,,2001,Full,Networks & Communications,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/Colbourn_Charles_8438b1.jpg,http://cidse.engineering.asu.edu/directory/charles-colbourn/,2,2015-10-09
James Collofello,Arizona State University,Northern Illinois University - USA,Northern Illinois University - USA,Northwestern University - USA,,1979,Full,Software Engineering,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/jamescollofello.jpg,http://cidse.engineering.asu.edu/directory/collofello-james/,2,2015-10-09
Sandeep Gupta ,Arizona State University,,,Ohio State University - USA,,2001,Full,Distributed & Parallel Computing,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/sandeepgupta-featured.jpg,http://cidse.engineering.asu.edu/directory/gupta-sandeep/,8587,2017-11-11
Subbarao Kambhampati,Arizona State University,Indian Institute of Technology - Madras - India,University of Maryland - College Park - USA,University of Maryland - College Park - USA,,1991,Full,Artificial Intelligence,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/subbaraokambhampati.jpg,http://cidse.engineering.asu.edu/directory/subbarao-kambhampati/,2,2015-10-09
Huan Liu ,Arizona State University,Shanghai Jiaotong University - China,University of Southern California - USA,University of Southern California - USA,,2000,Full,Machine Learning & Pattern Recognition,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/huanliu.jpg,http://cidse.engineering.asu.edu/directory/huan-liu/,7171,2017-04-12
Arunabha Sen ,Arizona State University,,,University of South Carolina - USA,,1987,Full,Networks & Communications,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/12/Sen-Arun.jpg,http://cidse.engineering.asu.edu/directory/sen-arunabha/,8587,2017-11-29
Wei-Tek Tsai,Arizona State University,,,University of California - Berkeley - USA,,2000,Full,Distributed & Parallel Computing,,,http://cidse.engineering.asu.edu/directory/tsai-wei-tek/,8875,2017-12-18
Kurt VanLehn,Arizona State University,,,Massachusetts Institute of Technology - USA,,2008,Full,Machine Learning & Pattern Recognition,Male,http://cidse.engineering.asu.edu/wp-content/uploads/2011/11/VanLehn-Kurt.jpg,http://cidse.engineering.asu.edu/directory/kurt-vanlehn/,2,2015-10-09
