pubid,gsid,univ
10000867257570048899,Wov5tYoAAAAJ,Princeton University
10002101159851553319,7eC3KMkAAAAJ,Rice University
10003143728778568095,eEqTPcwAAAAJ,University at Albany - SUNY
10004081858110137562,A7fZNg0AAAAJ,Virginia Tech
10004264167877467660,V22Gj30AAAAJ,Univ. of Illinois at Urbana-Champaign
10004508918275748827,bI2zeOUAAAAJ,California Institute of Technology
10004510751091788527,syv4e-EAAAAJ,Duke University
10005162743534632428,e7V7-gEAAAAJ,Stanford University
10005255368505994398,HP-yzF0AAAAJ,Northwestern University
10005294855986241338,v1_kfR8AAAAJ,Boston University
1000608191192967036,DcV-5RAAAAAJ,University of California - Berkeley
10006294859856880922,nNU3STcAAAAJ,Johns Hopkins University
10006432653075615536,c-LG6-MAAAAJ,University of Colorado Boulder
10006479087737690195,5cJzDZEAAAAJ,Carnegie Mellon University
10006479087737690195,qAKfQW0AAAAJ,University of North Carolina
10007525946029526934,Li-BrU4AAAAJ,University of Massachusetts Amherst
10007757745600280626,PiZymREAAAAJ,University of Michigan
10007868213990424271,casX4XgAAAAJ,University of Houston
10008225445780042649,OcN1_gwAAAAJ,Texas A&M University
10008648739754761324,YU-baPIAAAAJ,Univ. of Illinois at Urbana-Champaign
1000880624497757036,Q6pxNZYAAAAJ,Rice University
10008977669087243698,RTewL_wAAAAJ,Missouri University of Technology
10009269543614596707,_h642WsAAAAJ,University of California - Santa Cruz
10009604296777510565,H4rKFc8AAAAJ,George Mason University
10009790816318089600,PeCI8KcAAAAJ,University of Massachusetts Amherst
10010146542442536096,kOfRa7MAAAAJ,Virginia Tech
10010585847139850357,8iQk0DIAAAAJ,University of Pennsylvania
10010585847139850357,kLUQrrYAAAAJ,University of Pennsylvania
10010585847139850357,t0ZfFH8AAAAJ,University of Washington
10011168040464509857,C__DNg8AAAAJ,NJIT
10011798347355046905,jUzA3H8AAAAJ,University of Texas at Austin
10012131259056578739,FvRFQZ8AAAAJ,University of Maryland - College Park
10012686344948501381,R9L_AfQAAAAJ,University of Delaware
10012749781770989913,WEQF9DgAAAAJ,Northeastern University
10013660257356671809,eEqTPcwAAAAJ,University at Albany - SUNY
10013918733603689610,ICOWtt0AAAAJ,Worcester Polytechnic Institute
10014225327183301709,Ussl738AAAAJ,Georgia State University
10014225327183301709,xvrh8YMAAAAJ,Kent State University
10015053771901188868,KZFo7ZkAAAAJ,Univ. of Illinois at Urbana-Champaign
10015123538521848155,EaaOeJwAAAAJ,Univ. of Illinois at Urbana-Champaign
10015264296941634215,tqEWl8gAAAAJ,Georgia Institute of Technology
10015584245666177450,PNhUilMAAAAJ,West Virginia University
10016055134489894265,zX3ba1kAAAAJ,Stanford University
10016289012355746506,nhpEPFgAAAAJ,Northwestern University
10016289012355746506,u_7S7VYAAAAJ,Arizona State University
10016980159725502272,VxhX6sAAAAAJ,DePaul University
10016980159725502272,wRwI6d0AAAAJ,DePaul University
10017161015863465887,Q2yN84AAAAAJ,Johns Hopkins University
10018222710339413248,KIFPVWoAAAAJ,University of Massachusetts Amherst
10018718199716624683,zXw_54AAAAAJ,Virginia Commonwealth University
10018967804684509671,IATz8BMAAAAJ,University of Utah
10019563364741555012,oCFvA2UAAAAJ,University of Florida
10019563364741555012,r9uneEYAAAAJ,University of Colorado Boulder
10019850414399123486,U3CXAPsAAAAJ,Northeastern University
10020858340519633377,0RPDeS8AAAAJ,University of Louisville
10020947759696716690,YicUduAAAAAJ,Boise State University
10021298187338644153,hmq4rGIAAAAJ,University of Arizona
1002147947834302028,JBPcwIEAAAAJ,Stony Brook University
1002147947834302028,tkb2YWQAAAAJ,Brown University
10021937928700047138,9u7wNjUAAAAJ,Case Western Reserve University
10021974171012017765,90TaOdoAAAAJ,University of California - Berkeley
10022131695645974527,fsCnri8AAAAJ,IUPUI
10022137063519433688,c56AFDoAAAAJ,Rice University
10022163549251629054,jJPSj0IAAAAJ,University of Maryland - College Park
10022489586470160396,ptI-HHkAAAAJ,Washington University in St. Louis
10022535463475098208,GqnNG-kAAAAJ,University of Tennessee
10022679265658656887,Li-BrU4AAAAJ,University of Massachusetts Amherst
10022907235334515039,Jw1ccPYAAAAJ,George Mason University
10023749960399550440,70vJVxcAAAAJ,Cornell University
10024462392769545282,siQDY4gAAAAJ,Northeastern University
10024893443051210054,wpiIJ1MAAAAJ,Virginia Tech
10025066736787865469,lfLiQmcAAAAJ,University of California - San Diego
10025071058894329265,c324JbkAAAAJ,Northwestern University
10025071058894329265,vxmUoXEAAAAJ,Northwestern University
10025795038444345618,gUEkPQEAAAAJ,University of California - Davis
10026346593047063160,P9IivpwAAAAJ,Arizona State University
1002789303690263661,Q-UHlQ0AAAAJ,University of Nebraska
10028166742659921759,a_50FBsAAAAJ,University of California - Los Angeles
10028166742659921759,d0KQ9z0AAAAJ,University of California - Los Angeles
10028706289367139266,Ihyz20wAAAAJ,Georgia Institute of Technology
10028706289367139266,rU_-c5oAAAAJ,University of Colorado Boulder
10028731334845588765,JtTsVAkAAAAJ,University of Tulsa
10028821090096611336,zh8E4voAAAAJ,Northeastern University
10029634331683972452,wQdo-bMAAAAJ,University of Minnesota
10029932231938957135,qrPaF3QAAAAJ,University of California - San Diego
10030107376803948567,FJ7im7AAAAAJ,Cornell University
10030239660132549785,ghWKWBUAAAAJ,Carnegie Mellon University
10031435329431413151,KeJfN-IAAAAJ,Carnegie Mellon University
10031736666827545035,7m5-SfEAAAAJ,Harvard University
10032825459053227762,TQgOjK0AAAAJ,University of California - Los Angeles
10033038815937641490,CaO1wNAAAAAJ,University of Wisconsin - Madison
10033145998809027661,fVaS7a8AAAAJ,Stanford University
1003317672310726023,W5Me4Q8AAAAJ,University at Buffalo
10033201344197440040,wUNpA_sAAAAJ,University of Houston
10033261931803931130,y7TbKJMAAAAJ,IIT Kanpur
10033307271327135619,BM_qLgYAAAAJ,University of Washington
10033335637937491407,qkdvKNoAAAAJ,University of Virginia
10033386132616149522,CuIuzUsAAAAJ,Stevens Institute of Technology
