Aanjhan Ranganathan,Northeastern University
Aaron Bernstein,Rutgers University
Aaron Clauset,University of Colorado Boulder
Aaron F. Bobick,Washington University in St. Louis
Aaron J. Elmore,University of Chicago
Aaron Potechin,University of Chicago
Aaron Roth 0001,University of Pennsylvania
Aaron Schulman,University of California - San Diego
Aaron Sidford,Stanford University
Aaron Striegel,University of Notre Dame
Aaron Stump,University of Iowa
Aarti Gupta,Princeton University
Aarti Singh,Carnegie Mellon University
Aasheesh Kolli,Pennsylvania State University
Abdelsalam Helal,University of Florida
Abdeslam Boularias,Rutgers University
Abdol-Hossein Esfahanian,Michigan State University
Abdou Youssef,George Washington University
Abdullah Mueen,University of New Mexico
Abdullah Muzahid,Texas A&M University
Abdullah Uz Tansel,CUNY
Abdul Serwadda,Texas Tech University
Abhinav Bhatele,University of Maryland - College Park
Abhinav Gupta 0001,Carnegie Mellon University
Abhinav Shrivastava,University of Maryland - College Park
Abhishek Bhattacharjee,Yale University
Abhishek Chandra,University of Minnesota
Abhishek Jain 0002,Johns Hopkins University
Abhi Shelat,Northeastern University
Abhradeep Thakurta,University of California - Santa Cruz
Abolfazl Asudeh,University of Illinois at Chicago
Abolfazl Razi,Northern Arizona University
Abraham Silberschatz,Yale University
Abtin Rahimian,University of Colorado Boulder
Abusayeed Saifullah,Wayne State University
Ada Gavrilovska,Georgia Institute of Technology
Adam A. Porter,University of Maryland - College Park
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign
Adam Belay,Massachusetts Institute of Technology
Adam Chlipala,Massachusetts Institute of Technology
Adam Doupé,Arizona State University
Adam D. Smith,Boston University
Adam Finkelstein,Princeton University
Adam J. Aviv,George Washington University
Adam J. Lee,University of Pittsburgh
Adam M. Smith,University of California - Santa Cruz
Adam O'Neill,University of Massachusetts Amherst
Adam R. Klivans,University of Texas at Austin
Adam W. Bargteil,Univ. of Maryland - Baltimore County
Adam Wierman,California Institute of Technology
Adarshpal S. Sethi,University of Delaware
Adel Said Elmaghraby,University of Louisville
Aditi Majumder,University of California - Irvine
Aditya Akella,University of Wisconsin - Madison
Aditya Bhaskara,University of Utah
Aditya G. Parameswaran,University of California - Berkeley
Aditya V. Thakur,University of California - Davis
Adnan Darwiche,University of California - Los Angeles
Adriana B. Compagnoni,Stevens Institute of Technology
Adriana Iamnitchi,University of South Florida
Adriana Schulz,University of Washington
Adrian Dumitrescu,University of Wisconsin - Milwaukee
Adrian P. Lauf,University of Louisville
Adrian Sampson,Cornell University
Adrian Sandu,Virginia Tech
Adwait Jog,College of William and Mary
Adwait Nadkarni,College of William and Mary
Afzel Noore,West Virginia University
Aggelos K. Katsaggelos,Northwestern University
Agnes Hui Chan,Northeastern University
Ahmed E. Hassan,Queen’s University
Ahmed Eldawy,University of California - Riverside
Ahmed Helmy,University of Florida
Ahmed K. Elmagarmid,Purdue University
Ahmed M. Elgammal,Rutgers University
Ahmet Erdem Sariyüce,University at Buffalo
Aidong Lu,UNC - Charlotte
Aidong Zhang,University of Virginia
Aiichiro Nakano,University of Southern California
Aisling Kelliher,Virginia Tech
A. Jefferson Offutt,George Mason University
Akane Sano,Rice University
Akira Kawaguchi,CUNY
Ákos Lédeczi,Vanderbilt University
Alain J. Martin,California Institute of Technology
Alan Borning,University of Washington
Alan C. H. Ling,University of Vermont
Alan Fern,Oregon State University
Alan H. Barr,California Institute of Technology
Alan Kuhnle,Florida State University
Alan Kuntz,University of Utah
Alan L. Cox,Rice University
Alan L. Yuille,Johns Hopkins University
